period,side,k,kz1,ks2,vk1,g,ks3,st,ks1,zk2,zs1,zs3,kz2,kz3,ks4,gz4,zs2,lz3,v,zk,kh1,vk3,h,z,lz1,gz3
1500.0,left,0.04505110274341043,0.2681549220010758,0.11040882194728349,0.0178859601936525,0.0,0.0065895642818719746,0.0,0.1258741258741259,0.0,0.07114039806347498,0.0071274878967186655,0.15182894029047875,0.09924690693921463,0.061861215707369556,0.0,0.0016137708445400753,0.0,0.0004034427111350188,0.0,0.009413663259817106,0.023265196342119418,0.00013448090371167293,0.0,0.0,0.0
1500.0,right,0.055464137063207825,0.14035427354563934,0.18526764108024393,0.022553479818023425,0.0,0.026134933694705258,0.0,0.18526764108024393,0.0,0.028942019165618043,0.001355144710095828,0.18933307521053142,0.08208305101151873,0.06098151195431226,0.0,0.0010647565579324364,0.0,0.0007743684057690447,0.0,0.010357177427160972,0.00996999322427645,9.679605072113058e-05,0.0,0.0,0.0
1500.0,top,0.05053860867814356,0.1327225745830397,0.1282928957347562,0.01506761971878251,0.0043961206751904425,0.1369173462196718,0.010101010101010102,0.11544011544011544,0.0029866774052820563,0.07819054330682237,0.012047384140407397,0.13020571160106043,0.09600993321923554,0.038793248095573676,0.005134400483237693,0.004194771636632102,0.002483304808886204,0.0005033725963958522,0.008758683177287828,0.005939796637471056,0.009262055773683681,6.711634618611363e-05,0.003288700963119568,0.0011074197120708748,0.007550588945937783
1800.0,left,0.11789137380191693,0.05591054313099041,0.16932907348242812,0.012779552715654952,0.0060702875399361025,0.10031948881789138,0.028115015974440896,0.3169329073482428,0.0,0.04600638977635783,0.0329073482428115,0.024920127795527155,0.07348242811501597,0.0,0.0,0.012460063897763577,0.0,0.0,0.002875399361022364,0.0,0.0,0.0,0.0,0.0,0.0
1800.0,right,0.16955363091272485,0.1395736175882745,0.19586942038640906,0.02764823451032645,0.014323784143904063,0.17455029980013326,0.01798800799467022,0.10093271152564957,0.0,0.04696868754163891,0.0313124583610926,0.014323784143904063,0.056628914057295136,0.0,0.0,0.0029980013324450365,0.0,0.0,0.0073284477015323115,0.0,0.0,0.0,0.0,0.0,0.0
1800.0,top,0.06040873965402267,0.08378770642921586,0.1385478366610442,0.013964617738202643,0.0058839681481190915,0.17043894402384968,0.015259090730788844,0.13713568430549564,0.003491154434550661,0.07629545365394422,0.016043619817204723,0.11097163927352606,0.09229984701682815,0.027301612207272584,0.006001647511081474,0.005962421056760679,0.002902757619738752,0.0004707174518495273,0.010591142666614364,0.004197230612324952,0.004040324795041776,3.9226454320793944e-05,0.0038441925234378063,0.0012944729925862002,0.008825952222178638
1950.0,left,0.008717913236006366,0.05943402753753546,0.013076869854009548,0.0,0.026153739708019097,0.2557946447104407,0.010931986438801633,0.05514426070711963,0.00013837957517470422,0.10869715629973016,0.08288936552964782,0.028160243548052306,0.17920154985124195,0.006988168546322563,0.002075693627620563,0.032657579741230194,0.009824949837404,0.00013837957517470422,0.025531031619732927,0.0,0.0,0.0,0.007126548121497267,0.0017989344772711548,0.0855185774579672
1950.0,right,0.01036691904484566,0.010716365754222482,0.04170064065230052,0.0,0.01025043680838672,0.37658707047175305,0.02842166569598136,0.017705299941758883,0.01036691904484566,0.1405940594059406,0.022947000582411184,0.08759464181712288,0.12871287128712872,0.007687827606290041,0.01782178217821782,0.010133954571927782,0.008619685497961561,0.00046592894583576003,0.027839254513686663,0.0,0.0,0.0,0.011415259172976122,0.0038439138031450206,0.026208503203261502
1950.0,top,0.03522924815297697,0.07659713168187744,0.08667427205562798,0.0085832246849196,0.013825510647544547,0.20990873533246415,0.012467405475880051,0.08966210343328987,0.0024717514124293787,0.09159061277705345,0.04085180356366797,0.08577792264232942,0.12801499348109519,0.02164819643633203,0.004970664928292047,0.015889830508474576,0.005867014341590613,0.00038026944806605824,0.01711212516297262,0.0029063450673620164,0.002797696653628857,2.7162103433289875e-05,0.005459582790091264,0.0016025641025641025,0.03968383311603651
2100.0,left,0.0,0.0,0.6034962256654748,0.0,0.0031783869686134287,0.03416765991259436,0.001986491855383393,0.1760031783869686,0.0,0.1541517679777513,0.023440603893524037,0.0,0.0,0.0,0.0,0.003575685339690107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100.0,right,0.0,0.0,0.31910112359550563,0.0,0.0,0.008988764044943821,0.006741573033707865,0.30337078651685395,0.0,0.34606741573033706,0.0022471910112359553,0.0,0.0,0.0,0.0,0.01348314606741573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100.0,top,0.047065916398713825,0.07881832797427653,0.1817122186495177,0.01270096463022508,0.005586816720257235,0.16547427652733118,0.012299035369774919,0.11844855305466238,0.003577170418006431,0.08798231511254019,0.014670418006430869,0.11057073954983923,0.08532958199356913,0.02797427652733119,0.006149517684887459,0.0049035369774919615,0.0029742765273311897,0.0004823151125401929,0.010490353697749196,0.00430064308681672,0.004139871382636656,4.019292604501608e-05,0.003938906752411576,0.0013263665594855307,0.009043408360128617
